id_goleador,anio,id_seleccion,seleccion,id_jugador,jugador,goles,partidos,promedio
397,1970,68,Rumania,1882,Florea Dumitrache,2,3,0.67
398,1970,63,Perú,2162,Alberto Gallardo,2,4,0.5
399,1970,13,Bélgica,6644,Raoul Lambert,2,2,1.0
400,1970,,Checoslovaquia,548,Ladislav Petras,2,3,0.67
401,1970,51,Italia,5747,Gianni Rivera,2,4,0.5
402,1970,11,Brasil,1816,Tostao,2,6,0.33
403,1970,56,México,7883,Javier Valdivia,2,4,0.5
404,1970,13,Bélgica,6726,Wilfried Van Moer,2,3,0.67
405,1970,,URSS,252,Kakhi Asatiani,1,4,0.25
406,1970,56,México,7655,Juan Ignacio Basaguren,1,2,0.5
407,1970,,Alemania Occidental,6051,Franz Beckenbauer,1,5,0.2
408,1970,12,Bulgaria,2918,Hristo Bonev,1,3,0.33
409,1970,51,Italia,5562,Tarcisio Burgnich,1,6,0.17
410,1970,11,Brasil,1571,Carlos Alberto,1,6,0.17
411,1970,63,Perú,2141,Roberto Challe,1,4,0.25
412,1970,63,Perú,2142,Hector Chumpitaz,1,4,0.25
413,1970,44,Inglaterra,1243,Allan Clarke,1,1,1.0
414,1970,11,Brasil,1584,Clodoaldo,1,6,0.17
415,1970,80,Uruguay,5849,Luis Cubilla,1,5,0.2
416,1970,68,Rumania,1874,Emerich Dembrovschi,1,3,0.33
417,1970,12,Bulgaria,2923,Dinko Dermendzhiev,1,2,0.5
418,1970,51,Italia,5617,Angelo Domenghini,1,6,0.17
419,1970,80,Uruguay,5865,Victor Esparrago,1,6,0.17
420,1970,56,México,7721,Javier Fragoso,1,4,0.25
421,1970,11,Brasil,1640,Gerson,1,4,0.25
422,1970,55,Marruecos,8362,Mahjoub Ghazouani,1,3,0.33
423,1970,56,México,7738,Jose Gonzalez,1,3,0.33
424,1970,73,Suecia,3391,Ove Grahn,1,2,0.5
425,1970,44,Inglaterra,1304,Geoff Hurst,1,3,0.33
